time,Z7,Z6,Z5,Z4,Z3,Z2,Z1,Z0,X3,X2,X1,X0,Y3,Y2,Y1,Y0,A_val,B_val,Z_val,Expected,Pass
2.725e-07,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,6,3,18,18,True
2.775e-07,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,7,3,21,21,True
2.825e-07,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,8,3,24,24,True
2.875e-07,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,9,3,27,27,True
2.925e-07,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,10,3,30,30,True
2.975e-07,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,11,3,33,33,True
3.025e-07,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,12,3,36,36,True
3.075e-07,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,13,3,39,39,True
3.125e-07,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,14,3,42,42,True
3.175e-07,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,15,3,45,45,True
3.225e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,True
3.275e-07,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,4,4,4,True
3.325e-07,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,4,8,8,True
3.375e-07,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,3,4,12,12,True
3.425e-07,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4,4,16,16,True
3.475e-07,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,5,4,20,20,True
3.525e-07,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,6,4,24,24,True
3.575e-07,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,7,4,28,28,True
3.625e-07,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,8,4,32,32,True
3.675e-07,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,9,4,36,36,True
3.725e-07,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,10,4,40,40,True
3.775e-07,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,11,4,44,44,True
3.825e-07,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,12,4,48,48,True
3.875e-07,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,13,4,52,52,True
